;legend;color;marker;linestyle
Electricity|w/ CCS;Electricity w/ CCS;#b2b2b2;;
Electricity|w/o CCS;Electricity w/o CCS;#0c0c0c;;
Liquids|w/ CCS;Liquids w/ CCS;#00ccff;;
Liquids|w/o CCS;Liquids w/o CCS;#0000cc;;
Hydrogen|w/ CCS;Hydrogen w/ CCS;#ff7b00;;
Hydrogen|w/o CCS;Hydrogen w/o CCS;#ab7bb8;;
Other;Other;#ff6666;;
Gases;Gases;#999959;;
Solar|CSP;Solar CSP;#ffb400;;
Solar|PV;Solar PV;#ffe600;;
Electricity;Electricity;#ffb200;;
Heat;Heat;#cc0000;;
Solids;Solids;#0c0c0c;;
Liquids;Liquids;#0000cc;;
Hydrogen;Hydrogen;#66cccc;;
CO2|Land-Use Change;CO2|Land-Use Change;#007f00;;
CO2|Gross Fossil Fuels and Industry;CO2|Gross FF & I;#000000;;
CO2|Carbon Capture and Storage|Biomass;CO2|CCS|Biomass;#666666;;
CH4|Energy Supply and Demand;CH4|Energy Supply and Demand;#cc0000;;
CH4|Land Use;CH4|Land Use;#ff9900;;
CH4|Other;CH4|Other;#cc00cc;;
CH4|Waste;CH4|Waste;#bcbc6d;;
N2O|Land Use;N2O|Land Use;#00ff66;;
N2O|Energy Supply and Demand;N2O|Energy Supply and Demand;#0000cc;;
N2O|Other;N2O|Other;#00cccc;;
Emissions|CO2|Energy|Supply|Gross;Supply Gros;#661a00;;
Emissions|CO2|Energy|Gross;Energy (gross);#BBBBBB;;
Emissions|CO2|Energy|Supply|Non-Elec;Supply Non-Electr;#661a00;;
Emissions|CO2|Energy|Supply|Electricity|Gross;Supply Electricity;#993a44;;
Carbon Sequestration|CCS|Biomass|Neg;Supply BECCS;#00aa00;;
Emissions|CO2|Energy|Demand|Industry;Industry;#7777ff;;
Emissions|CO2|Energy|Demand|Industry|Gross;Industry;#7777ff;;
Emissions|CO2|Energy|Demand|Transportation;Transport;#222288;;
Emissions|CO2|Energy|Demand|Residential and Commercial;R & C;#4444bb;;
Emissions|CO2|Industrial Processes;Process;#aa5a00;;
Emissions|CO2|Energy and Industrial Processes;Energy and Processes;#000000;;
Emissions|CO2|AFOLU|Land;Land;#116611;;
Emissions|CO2|AFOLU;Land;#116611;;
Emissions|CO2|AFOLU and BECCS;AFOLU and BECCS;#114411;;
Emissions|CO2;CO2;#333333;;
Emissions|N2O|CO2eq;N2O;#aa3333;;
Emissions|CH4|CO2eq;CH4;#3333aa;;
Final Energy|Industry|Electricity;Electricity;#ffb200;;
FE|Industry|Electricity;Electricity;#ffb200;;
Final Energy|Industry|Gases;Gases;#999966;;
FE|Industry|Gases;Gases;#999966;;
Final Energy|Industry|Geothermal;Geothermal;#660000;;
FE|Industry|Geothermal;Geothermal;#660000;;
Final Energy|Industry|Heat;Heat;#cc0000;;
FE|Industry|Heat;Heat;#cc0000;;
Final Energy|Industry|Hydrogen;Hydrogen;#66cccc;;
FE|Industry|Hydrogen;Hydrogen;#66cccc;;
Final Energy|Industry|Liquids;Liquids;#0000cc;;
FE|Industry|Liquids;Liquids;#0000cc;;
Final Energy|Industry|Other;Other;#7f7f7f;;
FE|Industry|Other;Other;#7f7f7f;;
Final Energy|Residential and Commercial|Electricity;Electricity;#ffb200;;
FE|Residential and Commercial|Electricity;Electricity;#ffb200;;
Final Energy|Residential and Commercial|Gases;Gases;#999966;;
FE|Residential and Commercial|Gases;Gases;#999966;;
Final Energy|Residential and Commercial|Geothermal;Geothermal;#660000;;
FE|Residential and Commercial|Geothermal;Geothermal;#660000;;
Final Energy|Residential and Commercial|Heat;Heat;#cc0000;;
FE|Residential and Commercial|Heat;Heat;#cc0000;;
Final Energy|Residential and Commercial|Hydrogen;Hydrogen;#66cccc;;
FE|Residential and Commercial|Hydrogen;Hydrogen;#66cccc;;
Final Energy|Residential and Commercial|Liquids;Liquids;#0000cc;;
FE|Residential and Commercial|Liquids;Liquids;#0000cc;;
Final Energy|Residential and Commercial|Other;Other;#7f7f7f;;
FE|Residential and Commercial|Other;Other;#7f7f7f;;
non-Heating|Electricity|Conventional;non-heating Electricity;#ffb200;;
Heating|Solids;Solids;#191919;;
Heating|Liquids;Liquids;#0000cc;;
Heating|Gases;Gases;#999966;;
Heating|District Heating;District heating;#cc0000;;
Heating|Electricity|Resistance;Resistive electric heating;#f58231;;
Heating|Electricity|Heat pump;Heat pumps;#3cb44b;;
Heating|Hydrogen;Hydrogen;#66cccc;;
Electricity|Resistance;Resistive electric heating;#f58231;;
Electricity|Heat pump;Heat pumps;#3cb44b;;
BAU_Nash;BAU Nash;#0c0c0c;;
BAU_Nash_l;BAU Nash low;#0c0c0c;;
BAU_Nash_m2;BAU Nash m2;#0c0c0c;;
BAU_Nash_h;BAU Nash high;#0c0c0c;;
DET_CHN_BAU_l;LTA BAU low;#00009950;;
DET_CHN_BAU_m2;LTA BAU m2;#00990050;;
DET_CHN_BAU_h;LTA BAU high;#99000050;;
DET_CHN_BAU_bg;BG BAU;#00000050;;
DET_CHN_T50_abs_l;LTA T50 QUAN low;#000099FF;;
DET_CHN_T50_abs_m2;LTA T50 QUAN m2;#009900FF;;
DET_CHN_T50_abs_h;LTA T50 QUAN high;#990000FF;;
DET_CHN_T50_abs_bg;BG T50 QUAN;#00000050;;
DET_CHN_T50_int_l;LTA T50 INT low;#00009960;;
DET_CHN_T50_int_m2;LTA T50 INT m2;#00990060;;
DET_CHN_T50_int_h;LTA T50 INT high;#99000060;;
DET_CHN_T50_int_bg;BG T50 INT;#00000050;;
DET_CHN_T30_abs_l;LTA-L T30 QUAN;#000099FF;;
DET_CHN_T30_abs_m2;LTA T30 QUAN m2;#009900FF;;
DET_CHN_T30_abs_h;LTA-H T30 QUAN;#990000FF;;
DET_CHN_T30_abs_bg;LTA-BG T30 QUAN;#00000050;;
DET_CHN_T30_int_l;LTA T30 INT low;#00009960;;
DET_CHN_T30_int_m2;LTA T30 INT m2;#00990060;;
DET_CHN_T30_int_h;LTA T30 INT high;#99000060;;
DET_CHN_T30_int_bg;BG T30 INT;#00000050;;
R17IH_m2-Ref;R17IH m2-Ref;violet;;
NL_CHN_BAU;NL BAU;#00000075;;
NL_CHN_BAU_l;NL BAU low;#00009950;;
NL_CHN_BAU_m2;NL BAU m2;#00990050;;
NL_CHN_BAU_h;NL BAU high;#99000050;;
NL_CHN_T50_abs;NL T50 QUAN;orange1;;
NL_CHN_T50_abs_L;ATL T50 QUAN;violet;;
NL_CHN_T50_abs_L_l;ATL T50 QUAN low;#000099FF;;
